,fullname,team,birthdate,country,height,weight,rider_url,pps,rdr
10,COSNEFROY Benoît,AG2R Citroën Team,1995-10-17,France,1.79,64.0,https://www.procyclingstats.com/rider/benoit-cosnefroy,"{'One day races': '1941', 'GC': '315', 'Time trial': '107', 'Sprint': '612', 'Climber': '658'}","{'PCS Ranking': '58', 'UCI World Ranking': '42', 'Specials | All Time Ranking': '872'}"
11,CHEREL Mikaël,AG2R Citroën Team,1986-03-17,France,1.83,65.0,https://www.procyclingstats.com/rider/mikael-cherel,"{'One day races': '603', 'GC': '1213', 'Time trial': '1', 'Sprint': '600', 'Climber': '734'}","{'PCS Ranking': '1034', 'UCI World Ranking': '1393'}"
12,VANDENBERGH Stijn,noteam,1984-04-25,Belgium,1.99,86.0,https://www.procyclingstats.com/rider/stijn-vandenbergh,"{'One day races': '1275', 'GC': '544', 'Time trial': '25', 'Sprint': '772', 'Climber': '110'}",{}
13,VENTURINI Clément,AG2R Citroën Team,1993-10-16,France,1.65,60.0,https://www.procyclingstats.com/rider/clement-venturini,"{'One day races': '652', 'GC': '398', 'Time trial': '61', 'Sprint': '1767', 'Climber': '397'}","{'PCS Ranking': '357', 'UCI World Ranking': '602'}"
14,GOUGEARD Alexis,AG2R Citroën Team,1993-03-05,France,1.76,70.0,https://www.procyclingstats.com/rider/alexis-gougeard,"{'One day races': '532', 'GC': '590', 'Time trial': '538', 'Sprint': '532', 'Climber': '274'}","{'PCS Ranking': '631', 'UCI World Ranking': '1145', 'Specials | All Time Ranking': '1414'}"
15,BAGDONAS Gediminas,noteam,1985-12-26,Lithuania,1.85,78.0,https://www.procyclingstats.com/rider/gediminas-bagdonas,"{'One day races': '674', 'GC': '362', 'Time trial': '566', 'Sprint': '1098', 'Climber': '94'}",{}
16,PARET-PEINTRE Aurélien,AG2R Citroën Team,1996-02-27,France,1.84,64.0,https://www.procyclingstats.com/rider/aurelien-paret-peintre,"{'One day races': '464', 'GC': '686', 'Time trial': '73', 'Sprint': '186', 'Climber': '594'}","{'PCS Ranking': '61', 'UCI World Ranking': '83'}"
17,GODON Dorian,AG2R Citroën Team,1996-05-25,France,1.9,73.0,https://www.procyclingstats.com/rider/dorian-godon,"{'One day races': '746', 'GC': '195', 'Time trial': '145', 'Sprint': '443', 'Climber': '516'}","{'PCS Ranking': '77', 'UCI World Ranking': '60'}"
18,GASTAUER Ben,AG2R Citroën Team,1987-11-14,Luxembourg,1.9,73.0,https://www.procyclingstats.com/rider/ben-gastauer,"{'One day races': '268', 'GC': '757', 'Time trial': '142', 'Sprint': '158', 'Climber': '211'}","{'PCS Ranking': '1337', 'UCI World Ranking': '3212'}"
19,WARBASSE Larry,AG2R Citroën Team,1990-06-28,United States,1.83,67.0,https://www.procyclingstats.com/rider/lawrence-warbasse,"{'One day races': '205', 'GC': '696', 'Time trial': '311', 'Sprint': '79', 'Climber': '496'}","{'PCS Ranking': '553', 'UCI World Ranking': '815'}"
20,PETERS Nans,AG2R Citroën Team,1994-03-12,France,1.77,70.0,https://www.procyclingstats.com/rider/nans-peters,"{'One day races': '310', 'GC': '261', 'Time trial': '61', 'Sprint': '135', 'Climber': '484'}","{'PCS Ranking': '929', 'UCI World Ranking': '1169'}"
21,DUVAL Julien,AG2R Citroën Team,1990-05-27,France,1.79,68.0,https://www.procyclingstats.com/rider/julien-duval,"{'One day races': '637', 'GC': '120', 'Time trial': '35', 'Sprint': '710', 'Climber': '46'}","{'PCS Ranking': '1411', 'UCI World Ranking': '1614'}"
22,CHAMPOUSSIN Clément,AG2R Citroën Team,1998-05-29,France,1.8,61.0,https://www.procyclingstats.com/rider/clement-champoussin,"{'One day races': '238', 'GC': '325', 'Time trial': '53', 'Sprint': '214', 'Climber': '570'}","{'PCS Ranking': '99', 'UCI World Ranking': '114'}"
23,JAUREGUI Quentin,B&B Hotels p/b KTM,1994-04-22,France,1.76,60.0,https://www.procyclingstats.com/rider/quentin-jauregui,"{'One day races': '514', 'GC': '152', 'Time trial': '0', 'Sprint': '408', 'Climber': '136'}","{'PCS Ranking': '1888', 'UCI World Ranking': '3180'}"
24,DENZ Nico,Team DSM,1994-02-15,Germany,1.83,71.0,https://www.procyclingstats.com/rider/nico-denz,"{'One day races': '331', 'GC': '247', 'Time trial': '148', 'Sprint': '280', 'Climber': '101'}","{'PCS Ranking': '563', 'UCI World Ranking': '1316'}"
25,BOUCHARD Geoffrey,AG2R Citroën Team,1992-04-01,France,1.77,64.0,https://www.procyclingstats.com/rider/geoffrey-bouchard,"{'One day races': '87', 'GC': '359', 'Time trial': '1', 'Sprint': '82', 'Climber': '457'}","{'PCS Ranking': '117', 'UCI World Ranking': '147'}"
26,DOMONT Axel,noteam,1990-08-07,France,1.79,65.0,https://www.procyclingstats.com/rider/axel-domont,"{'One day races': '84', 'GC': '228', 'Time trial': '1', 'Sprint': '67', 'Climber': '266'}",{}
27,BIDARD François,AG2R Citroën Team,1992-03-19,France,1.8,65.0,https://www.procyclingstats.com/rider/francois-bidard,"{'One day races': '84', 'GC': '275', 'Time trial': '6', 'Sprint': '39', 'Climber': '316'}","{'PCS Ranking': '1298', 'UCI World Ranking': '2037'}"
28,CHEVRIER Clément,noteam,1992-06-29,France,1.77,56.0,https://www.procyclingstats.com/rider/clement-chevrier,"{'One day races': '57', 'GC': '248', 'Time trial': '3', 'Sprint': '39', 'Climber': '115'}",{}
29,JORGENSON Matteo,Movistar Team,1999-07-01,United States,1.9,65.0,https://www.procyclingstats.com/rider/matteo-jorgenson,"{'One day races': '67', 'GC': '175', 'Time trial': '15', 'Sprint': '24', 'Climber': '138'}","{'PCS Ranking': '249', 'UCI World Ranking': '372'}"
30,HÄNNINEN Jaakko,AG2R Citroën Team,1997-04-16,Finland,1.77,59.0,https://www.procyclingstats.com/rider/jaakko-hanninen,"{'One day races': '139', 'GC': '63', 'Time trial': '0', 'Sprint': '52', 'Climber': '45'}","{'PCS Ranking': '768', 'UCI World Ranking': '866'}"
31,JULLIEN Anthony,AG2R Citroën Team,1998-03-05,France,1.78,72.0,https://www.procyclingstats.com/rider/anthony-jullien,"{'One day races': '27', 'GC': '5', 'Time trial': '0', 'Sprint': '43', 'Climber': '0'}","{'PCS Ranking': '1281', 'UCI World Ranking': '1556'}"
32,FUGLSANG Jakob,Astana - Premier Tech,1985-03-22,Denmark,1.81,65.0,https://www.procyclingstats.com/rider/jakob-fuglsang,"{'One day races': '3322', 'GC': '6270', 'Time trial': '1619', 'Sprint': '928', 'Climber': '5924'}","{'PCS Ranking': '111', 'UCI World Ranking': '97', 'Specials | All Time Ranking': '153'}"
33,SÁNCHEZ Luis León,Astana - Premier Tech,1983-11-24,Spain,1.86,73.0,https://www.procyclingstats.com/rider/luis-leon-sanchez,"{'One day races': '1813', 'GC': '5434', 'Time trial': '2872', 'Sprint': '2337', 'Climber': '3399'}","{'PCS Ranking': '194', 'UCI World Ranking': '151', 'Specials | All Time Ranking': '172'}"
34,IZAGIRRE Ion,Astana - Premier Tech,1989-02-04,Spain,1.73,60.0,https://www.procyclingstats.com/rider/ion-izagirre,"{'One day races': '1241', 'GC': '4619', 'Time trial': '2726', 'Sprint': '292', 'Climber': '3666'}","{'PCS Ranking': '48', 'UCI World Ranking': '56', 'Specials | All Time Ranking': '386'}"
35,LÓPEZ Miguel Ángel,noteam,1994-02-04,Colombia,1.64,59.0,https://www.procyclingstats.com/rider/miguel-angel-lopez,"{'One day races': '322', 'GC': '3349', 'Time trial': '480', 'Sprint': '226', 'Climber': '3730'}","{'PCS Ranking': '69', 'UCI World Ranking': '92', 'Specials | All Time Ranking': '357'}"
36,LUTSENKO Alexey,Astana - Premier Tech,1992-09-07,Kazakhstan,1.74,74.0,https://www.procyclingstats.com/rider/aleksey-lutsenko,"{'One day races': '1584', 'GC': '2386', 'Time trial': '780', 'Sprint': '1156', 'Climber': '2048'}","{'PCS Ranking': '42', 'UCI World Ranking': '39', 'Specials | All Time Ranking': '393'}"
37,IZAGIRRE Gorka,Astana - Premier Tech,1987-10-07,Spain,1.76,66.0,https://www.procyclingstats.com/rider/gorka-izagirre,"{'One day races': '1277', 'GC': '2161', 'Time trial': '717', 'Sprint': '558', 'Climber': '2080'}","{'PCS Ranking': '252', 'UCI World Ranking': '405', 'Specials | All Time Ranking': '958'}"
38,BILBAO Pello,Bahrain - Victorious,1990-02-25,Spain,1.74,60.0,https://www.procyclingstats.com/rider/pello-bilbao,"{'One day races': '745', 'GC': '2321', 'Time trial': '751', 'Sprint': '691', 'Climber': '2826'}","{'PCS Ranking': '50', 'UCI World Ranking': '63', 'Specials | All Time Ranking': '1095'}"
39,CORT Magnus,EF Education - Nippo,1993-01-16,Denmark,1.83,68.0,https://www.procyclingstats.com/rider/magnus-cort-nielsen,"{'One day races': '876', 'GC': '746', 'Time trial': '417', 'Sprint': '2348', 'Climber': '1024'}","{'PCS Ranking': '65', 'UCI World Ranking': '106', 'Specials | All Time Ranking': '725'}"
40,CATALDO Dario,Movistar Team,1985-03-17,Italy,1.75,64.0,https://www.procyclingstats.com/rider/dario-cataldo,"{'One day races': '633', 'GC': '1577', 'Time trial': '1149', 'Sprint': '690', 'Climber': '1716'}","{'PCS Ranking': '592', 'UCI World Ranking': '1006', 'Specials | All Time Ranking': '1573'}"
41,VILLELLA Davide,Movistar Team,1991-06-27,Italy,1.82,66.0,https://www.procyclingstats.com/rider/davide-villella,"{'One day races': '1073', 'GC': '836', 'Time trial': '91', 'Sprint': '348', 'Climber': '888'}","{'PCS Ranking': '246', 'UCI World Ranking': '197'}"
42,KUDUS Merhawi,Astana - Premier Tech,1994-01-23,Eritrea,1.73,58.0,https://www.procyclingstats.com/rider/merhawi-kudus,"{'One day races': '372', 'GC': '1255', 'Time trial': '179', 'Sprint': '276', 'Climber': '995'}","{'PCS Ranking': '211', 'UCI World Ranking': '166'}"
43,ZEITS Andrey,Team BikeExchange,1986-12-14,Kazakhstan,1.89,73.0,https://www.procyclingstats.com/rider/andrey-zeits,"{'One day races': '259', 'GC': '1335', 'Time trial': '125', 'Sprint': '160', 'Climber': '587'}","{'PCS Ranking': '459', 'UCI World Ranking': '645'}"
44,FRAILE Omar,Astana - Premier Tech,1990-07-17,Spain,1.83,72.0,https://www.procyclingstats.com/rider/omar-fraile,"{'One day races': '358', 'GC': '484', 'Time trial': '161', 'Sprint': '235', 'Climber': '1210'}","{'PCS Ranking': '327', 'UCI World Ranking': '314', 'Specials | All Time Ranking': '1761'}"
45,BALLERINI Davide,Deceuninck - Quick Step,1994-09-21,Italy,1.83,77.0,https://www.procyclingstats.com/rider/davide-ballerini,"{'One day races': '1008', 'GC': '129', 'Time trial': '112', 'Sprint': '1235', 'Climber': '371'}","{'PCS Ranking': '103', 'UCI World Ranking': '124', 'Specials | All Time Ranking': '1471'}"
46,HIRT Jan,Intermarché - Wanty - Gobert Matériaux,1991-01-21,Czech Republic,1.81,62.0,https://www.procyclingstats.com/rider/jan-hirt,"{'One day races': '127', 'GC': '1038', 'Time trial': '25', 'Sprint': '136', 'Climber': '1102'}","{'PCS Ranking': '388', 'UCI World Ranking': '608'}"
47,BOARO Manuele,Astana - Premier Tech,1987-03-12,Italy,1.73,64.0,https://www.procyclingstats.com/rider/manuele-boaro,"{'One day races': '232', 'GC': '821', 'Time trial': '1258', 'Sprint': '361', 'Climber': '298'}","{'PCS Ranking': '774', 'UCI World Ranking': '2353'}"
48,GRUZDEV Dmitriy,Astana - Premier Tech,1986-03-13,Kazakhstan,1.85,78.0,https://www.procyclingstats.com/rider/dmitriy-gruzdev,"{'One day races': '261', 'GC': '696', 'Time trial': '753', 'Sprint': '305', 'Climber': '26'}","{'PCS Ranking': '607', 'UCI World Ranking': '3457'}"
49,HOULE Hugo,Astana - Premier Tech,1990-09-27,Canada,1.82,72.0,https://www.procyclingstats.com/rider/hugo-houle,"{'One day races': '513', 'GC': '555', 'Time trial': '617', 'Sprint': '238', 'Climber': '306'}","{'PCS Ranking': '303', 'UCI World Ranking': '357'}"
50,DE VREESE Laurens,Alpecin-Fenix,1988-09-29,Belgium,1.9,78.0,https://www.procyclingstats.com/rider/laurens-de-vreese,"{'One day races': '749', 'GC': '338', 'Time trial': '5', 'Sprint': '572', 'Climber': '94'}","{'PCS Ranking': '1338', 'UCI World Ranking': '1610'}"
51,GIDICH Yevgeniy,Astana - Premier Tech,1996-05-19,Kazakhstan,1.79,69.0,https://www.procyclingstats.com/rider/yevgeniy-gidich,"{'One day races': '222', 'GC': '469', 'Time trial': '20', 'Sprint': '1114', 'Climber': '246'}","{'PCS Ranking': '906', 'UCI World Ranking': '615'}"
52,STALNOV Nikita,Astana - Premier Tech,1991-09-14,Kazakhstan,1.76,63.0,https://www.procyclingstats.com/rider/nikita-stalnov,"{'One day races': '79', 'GC': '327', 'Time trial': '47', 'Sprint': '305', 'Climber': '176'}","{'PCS Ranking': '1246', 'UCI World Ranking': '2985'}"
53,FOMINYKH Daniil,Almaty Cycling Team,1991-08-28,Kazakhstan,1.85,70.0,https://www.procyclingstats.com/rider/daniil-fominykh,"{'One day races': '76', 'GC': '178', 'Time trial': '385', 'Sprint': '50', 'Climber': '73'}","{'PCS Ranking': '940', 'UCI World Ranking': '910'}"
54,BIZHIGITOV Zhandos,noteam,1991-06-10,Kazakhstan,1.92,76.0,https://www.procyclingstats.com/rider/zhandos-bizhigitov,"{'One day races': '137', 'GC': '196', 'Time trial': '165', 'Sprint': '272', 'Climber': '60'}",{}
55,PRONSKIY Vadim,Astana - Premier Tech,1998-06-04,Kazakhstan,1.73,58.0,https://www.procyclingstats.com/rider/vadim-pronskiy,"{'One day races': '36', 'GC': '313', 'Time trial': '48', 'Sprint': '75', 'Climber': '180'}","{'PCS Ranking': '487', 'UCI World Ranking': '543'}"
56,GREGAARD Jonas,Astana - Premier Tech,1996-07-30,Denmark,1.86,66.0,https://www.procyclingstats.com/rider/jonas-gregaard,"{'One day races': '83', 'GC': '227', 'Time trial': '7', 'Sprint': '136', 'Climber': '144'}","{'PCS Ranking': '577', 'UCI World Ranking': '732'}"
57,BOHÓRQUEZ Hernando,noteam,1992-06-22,Colombia,1.78,68.0,https://www.procyclingstats.com/rider/hernando-bohorquez,"{'One day races': '89', 'GC': '143', 'Time trial': '31', 'Sprint': '37', 'Climber': '70'}",{'UCI World Ranking': '3377'}
58,CONTRERAS Rodrigo,Astana - Premier Tech,1994-06-02,Colombia,1.8,68.0,https://www.procyclingstats.com/rider/rodrigo-contreras,"{'One day races': '10', 'GC': '134', 'Time trial': '211', 'Sprint': '46', 'Climber': '121'}","{'PCS Ranking': '714', 'UCI World Ranking': '1198'}"
59,NATAROV Yuriy,Astana - Premier Tech,1996-12-28,Kazakhstan,1.86,68.0,https://www.procyclingstats.com/rider/yuriy-natarov,"{'One day races': '39', 'GC': '160', 'Time trial': '101', 'Sprint': '36', 'Climber': '50'}","{'PCS Ranking': '722', 'UCI World Ranking': '701'}"
60,ZAKHAROV Artyom,Astana - Premier Tech,1991-10-27,Kazakhstan,1.79,70.0,https://www.procyclingstats.com/rider/artyom-zakharov,"{'One day races': '57', 'GC': '52', 'Time trial': '94', 'Sprint': '44', 'Climber': '13'}","{'PCS Ranking': '939', 'UCI World Ranking': '678'}"
61,NIBALI Vincenzo,Trek - Segafredo,1984-11-14,Italy,1.81,65.0,https://www.procyclingstats.com/rider/vincenzo-nibali,"{'One day races': '4659', 'GC': '9488', 'Time trial': '3713', 'Sprint': '1379', 'Climber': '9554'}","{'PCS Ranking': '114', 'UCI World Ranking': '135', 'Specials | All Time Ranking': '35'}"
62,POZZOVIVO Domenico,Team Qhubeka NextHash,1982-11-30,Italy,1.65,53.0,https://www.procyclingstats.com/rider/domenico-pozzovivo,"{'One day races': '2372', 'GC': '5871', 'Time trial': '815', 'Sprint': '889', 'Climber': '6304'}","{'PCS Ranking': '247', 'UCI World Ranking': '239', 'Specials | All Time Ranking': '493'}"
63,COLBRELLI Sonny,Bahrain - Victorious,1990-05-17,Italy,1.76,74.0,https://www.procyclingstats.com/rider/sonny-colbrelli,"{'One day races': '5231', 'GC': '1162', 'Time trial': '142', 'Sprint': '4158', 'Climber': '1694'}","{'PCS Ranking': '6', 'UCI World Ranking': '5', 'Specials | All Time Ranking': '183'}"
64,DENNIS Rohan,INEOS Grenadiers,1990-05-28,Australia,1.82,72.0,https://www.procyclingstats.com/rider/rohan-dennis,"{'One day races': '46', 'GC': '2592', 'Time trial': '5896', 'Sprint': '303', 'Climber': '1149'}","{'PCS Ranking': '129', 'UCI World Ranking': '133', 'Specials | All Time Ranking': '221'}"
65,HAUSSLER Heinrich,Bahrain - Victorious,1984-02-25,Australia,1.81,74.0,https://www.procyclingstats.com/rider/heinrich-haussler,"{'One day races': '2936', 'GC': '824', 'Time trial': '276', 'Sprint': '4320', 'Climber': '292'}","{'PCS Ranking': '271', 'UCI World Ranking': '179', 'Specials | All Time Ranking': '615'}"
66,CARUSO Damiano,Bahrain - Victorious,1987-10-12,Italy,1.79,67.0,https://www.procyclingstats.com/rider/damiano-caruso,"{'One day races': '766', 'GC': '3283', 'Time trial': '889', 'Sprint': '986', 'Climber': '3422'}","{'PCS Ranking': '38', 'UCI World Ranking': '37', 'Specials | All Time Ranking': '941'}"
67,TEUNS Dylan,Bahrain - Victorious,1992-03-01,Belgium,1.81,64.0,https://www.procyclingstats.com/rider/dylan-teuns,"{'One day races': '1165', 'GC': '2086', 'Time trial': '456', 'Sprint': '750', 'Climber': '2311'}","{'PCS Ranking': '68', 'UCI World Ranking': '103', 'Specials | All Time Ranking': '701'}"
68,BOLE Grega,noteam,1985-08-13,Slovenia,1.77,69.0,https://www.procyclingstats.com/rider/grega-bole,"{'One day races': '1889', 'GC': '1149', 'Time trial': '169', 'Sprint': '2828', 'Climber': '768'}",{'Specials | All Time Ranking': '667'}
69,MOHORIČ Matej,Bahrain - Victorious,1994-10-19,Slovenia,1.85,72.0,https://www.procyclingstats.com/rider/matej-mohoric,"{'One day races': '1488', 'GC': '1335', 'Time trial': '241', 'Sprint': '725', 'Climber': '1558'}","{'PCS Ranking': '13', 'UCI World Ranking': '12', 'Specials | All Time Ranking': '633'}"
70,ARASHIRO Yukiya,Bahrain - Victorious,1984-09-22,Japan,1.7,64.0,https://www.procyclingstats.com/rider/yukiya-arashiro,"{'One day races': '1260', 'GC': '1166', 'Time trial': '122', 'Sprint': '1314', 'Climber': '344'}","{'PCS Ranking': '492', 'UCI World Ranking': '1505', 'Specials | All Time Ranking': '1584'}"
71,SIEBERG Marcel,Bahrain - Victorious,1982-04-30,Germany,1.98,80.0,https://www.procyclingstats.com/rider/marcel-sieberg,"{'One day races': '1529', 'GC': '523', 'Time trial': '353', 'Sprint': '1718', 'Climber': '92'}",{'PCS Ranking': '1020'}
72,BAUHAUS Phil,Bahrain - Victorious,1994-07-08,Germany,1.84,71.0,https://www.procyclingstats.com/rider/phil-bauhaus,"{'One day races': '579', 'GC': '170', 'Time trial': '1', 'Sprint': '2160', 'Climber': '139'}","{'PCS Ranking': '142', 'UCI World Ranking': '286', 'Specials | All Time Ranking': '1364'}"
73,TRATNIK Jan,Bahrain - Victorious,1990-02-23,Slovenia,1.73,67.0,https://www.procyclingstats.com/rider/jan-tratnik,"{'One day races': '384', 'GC': '643', 'Time trial': '1536', 'Sprint': '958', 'Climber': '471'}","{'PCS Ranking': '159', 'UCI World Ranking': '334', 'Specials | All Time Ranking': '1634'}"
74,AGNOLI Valerio,noteam,1985-01-06,Italy,1.78,72.0,https://www.procyclingstats.com/rider/valerio-agnoli,"{'One day races': '577', 'GC': '696', 'Time trial': '12', 'Sprint': '453', 'Climber': '402'}",{}
75,KOREN Kristijan,noteam,1986-11-25,Slovenia,1.83,72.0,https://www.procyclingstats.com/rider/kristijan-koren,"{'One day races': '707', 'GC': '550', 'Time trial': '387', 'Sprint': '468', 'Climber': '226'}","{'PCS Ranking': '2057', 'UCI World Ranking': '1531'}"
76,GARCÍA CORTINA Iván,Movistar Team,1995-11-20,Spain,1.83,77.0,https://www.procyclingstats.com/rider/ivan-garcia-cortina,"{'One day races': '704', 'GC': '247', 'Time trial': '108', 'Sprint': '860', 'Climber': '512'}","{'PCS Ranking': '177', 'UCI World Ranking': '193'}"
77,PERNSTEINER Hermann,Bahrain - Victorious,1990-08-07,Austria,1.68,55.0,https://www.procyclingstats.com/rider/hermann-pernsteiner,"{'One day races': '183', 'GC': '874', 'Time trial': '43', 'Sprint': '18', 'Climber': '862'}","{'PCS Ranking': '438', 'UCI World Ranking': '503'}"
78,PADUN Mark,Bahrain - Victorious,1996-07-06,Ukraine,1.82,60.0,https://www.procyclingstats.com/rider/mark-padun,"{'One day races': '121', 'GC': '387', 'Time trial': '36', 'Sprint': '163', 'Climber': '618'}","{'PCS Ranking': '191', 'UCI World Ranking': '206'}"
79,WANG Meiyin,Hengxiang Cycling Team,1988-12-26,China,1.82,70.0,https://www.procyclingstats.com/rider/meiyin-wang,"{'One day races': '67', 'GC': '453', 'Time trial': '111', 'Sprint': '266', 'Climber': '81'}",{}
80,PIBERNIK Luka,noteam,1993-10-23,Slovenia,1.77,60.0,https://www.procyclingstats.com/rider/luka-pibernik,"{'One day races': '354', 'GC': '194', 'Time trial': '38', 'Sprint': '276', 'Climber': '86'}",{}
81,FENG Chun Kai,Bahrain - Victorious,1988-11-02,Taiwan,1.7,69.0,https://www.procyclingstats.com/rider/chun-kai-feng,"{'One day races': '169', 'GC': '123', 'Time trial': '271', 'Sprint': '388', 'Climber': '31'}",{}
82,NOVAK Domen,Bahrain - Victorious,1995-07-12,Slovenia,1.81,70.0,https://www.procyclingstats.com/rider/domen-novak,"{'One day races': '39', 'GC': '257', 'Time trial': '26', 'Sprint': '44', 'Climber': '129'}","{'PCS Ranking': '1345', 'UCI World Ranking': '2119'}"
83,WILLIAMS Stephen,Bahrain - Victorious,1996-06-09,Great Britain,1.83,59.0,https://www.procyclingstats.com/rider/stephen-williams,"{'One day races': '54', 'GC': '162', 'Time trial': '5', 'Sprint': '100', 'Climber': '80'}","{'PCS Ranking': '285', 'UCI World Ranking': '337'}"
84,NIBALI Antonio,Trek - Segafredo,1992-09-23,Italy,1.8,65.0,https://www.procyclingstats.com/rider/antonio-nibali,"{'One day races': '28', 'GC': '175', 'Time trial': '0', 'Sprint': '12', 'Climber': '110'}","{'PCS Ranking': '757', 'UCI World Ranking': '1458'}"
85,GAROSIO Andrea,Bardiani-CSF-Faizanè,1993-12-06,Italy,1.75,58.0,https://www.procyclingstats.com/rider/andrea-garosio,"{'One day races': '100', 'GC': '56', 'Time trial': '4', 'Sprint': '31', 'Climber': '74'}","{'PCS Ranking': '657', 'UCI World Ranking': '655'}"
86,SAGAN Peter,BORA - hansgrohe,1990-01-26,Slovakia,1.84,78.0,https://www.procyclingstats.com/rider/peter-sagan,"{'One day races': '9134', 'GC': '1681', 'Time trial': '1301', 'Sprint': '14148', 'Climber': '4355'}","{'PCS Ranking': '35', 'UCI World Ranking': '55', 'Specials | All Time Ranking': '17'}"
87,MAJKA Rafał,UAE-Team Emirates,1989-09-12,Poland,1.73,62.0,https://www.procyclingstats.com/rider/rafal-majka,"{'One day races': '1113', 'GC': '4500', 'Time trial': '860', 'Sprint': '212', 'Climber': '5959'}","{'PCS Ranking': '157', 'UCI World Ranking': '188', 'Specials | All Time Ranking': '442'}"
88,BENNETT Sam,Deceuninck - Quick Step,1990-10-16,Ireland,1.78,73.0,https://www.procyclingstats.com/rider/sam-bennett,"{'One day races': '2073', 'GC': '299', 'Time trial': '25', 'Sprint': '6312', 'Climber': '415'}","{'PCS Ranking': '80', 'UCI World Ranking': '81', 'Specials | All Time Ranking': '210'}"
89,ACKERMANN Pascal,BORA - hansgrohe,1994-01-17,Germany,1.8,78.0,https://www.procyclingstats.com/rider/pascal-ackermann,"{'One day races': '2803', 'GC': '236', 'Time trial': '66', 'Sprint': '3748', 'Climber': '527'}","{'PCS Ranking': '36', 'UCI World Ranking': '50', 'Specials | All Time Ranking': '262'}"
90,DRUCKER Jempy,"Cofidis, Solutions Crédits",1986-09-03,Luxembourg,1.82,75.0,https://www.procyclingstats.com/rider/jean-pierre-drucker,"{'One day races': '2374', 'GC': '630', 'Time trial': '623', 'Sprint': '3444', 'Climber': '234'}","{'PCS Ranking': '699', 'UCI World Ranking': '576', 'Specials | All Time Ranking': '1043'}"
